,name,salary_from,salary_to,salary_currency,area_name,published_at
0,Программист-стажер 1C,40000.0,50000.0,RUR,Хабаровск,2022-12-12T02:28:21+0300
1,Аналитик,,,,Москва,2022-12-12T01:06:32+0300
2,Оператор станков с ПУ,60000.0,120000.0,RUR,Екатеринбург,2022-12-12T05:35:39+0300
3,Графический дизайнер,40000.0,50000.0,RUR,Иркутск,2022-12-12T03:29:27+0300
4,Data Scientist (Computer Vision) / Junior,70000.0,,RUR,Владивосток,2022-12-12T03:30:04+0300
5,Web-программист,85000.0,,RUR,Хабаровск,2022-12-12T02:27:57+0300
6,Аналитик (Data science),,,,Хабаровск,2022-12-12T03:04:16+0300
7,Рабочий по комплексному обслуживанию зданий,24000.0,26000.0,RUR,Новокузнецк,2022-12-12T03:31:40+0300
8,Администратор 1C,,,,Красноярск,2022-12-12T05:12:52+0300
9,Инженер транспортных сетей связи,65000.0,,RUR,Владивосток,2022-12-12T04:28:52+0300
10,Специалист технической поддержки,,32000.0,RUR,Санкт-Петербург,2022-12-12T01:00:42+0300
11,Руководитель ИТ,,,,Хабаровск,2022-12-12T02:11:34+0300
12,Аналитик данных,,45000.0,RUR,Владивосток,2022-12-12T04:58:16+0300
13,Слесарь по обслуживанию и ремонту автомобилей,40000.0,,RUR,Улан-Удэ,2022-12-12T04:08:43+0300
14,Программист,60000.0,,RUR,Новосибирск,2022-12-12T04:52:26+0300
15,Фрезеровщик,50000.0,,RUR,Новосибирск,2022-12-12T04:37:16+0300
16,Оператор станков с программным управлением,,,,Барнаул,2022-12-12T03:58:10+0300
17,Специалист отдела технического обслуживания,45000.0,,RUR,Барнаул,2022-12-12T05:44:21+0300
18,Исполнительный директор,,,,Ижевск,2022-12-12T00:17:22+0300
19,Back-end разработчик,,,,Якутск,2022-12-12T05:14:16+0300
20,Программист,25000.0,,RUR,Новоалтайск,2022-12-12T04:57:18+0300
21,Системный администратор,55000.0,,RUR,Омск,2022-12-12T05:44:00+0300
22,Наладчик станков и манипуляторов с программным управлением,,,,Барнаул,2022-12-12T03:58:14+0300
23,Стажер по ремонту холодильников,60000.0,70000.0,RUR,Барнаул,2022-12-12T04:33:26+0300
24,Механик Участка технологического транспорта и спецтехники,50000.0,,RUR,Спасск-Дальний,2022-12-12T05:55:45+0300
25,Технический специалист,,,,Алматы,2022-12-12T05:41:56+0300
26,Системный администратор,,,,Магадан,2022-12-12T01:50:53+0300
27,Заместитель начальника Управления цифровой трансформации,,,,Якутск,2022-12-12T04:23:15+0300
28,"Администратор сайта с навыками веб разработки, контент-менеджер",28000.0,,RUR,Барнаул,2022-12-12T05:17:37+0300
29,Сервисный инженер,55000.0,70000.0,RUR,Уссурийск,2022-12-12T02:51:57+0300
30,Senior/Middle PHP developer (remote),,300000.0,RUR,Москва,2022-12-12T03:36:45+0300
31,Токарь,53000.0,,RUR,Хабаровск,2022-12-12T03:21:59+0300
32,Инженер эксплуатации радиоподсистемы,63000.0,,RUR,Новосибирск,2022-12-12T04:29:11+0300
33,Техник по обслуживанию зданий,32428.0,40230.0,RUR,Улан-Удэ,2022-12-12T05:38:11+0300
34,Аналитик данных (Middle),90000.0,,RUR,Владивосток,2022-12-12T03:30:05+0300
35,Системный администратор (п. Краснообск),,,,Новосибирск,2022-12-12T05:09:47+0300
36,Наладчик КИПиА,42000.0,42000.0,RUR,Бердск,2022-12-12T04:19:09+0300
37,Механик по сельхоз машинам,50000.0,,RUR,Барнаул,2022-12-12T04:42:42+0300
38,Системный администратор,,,,Барнаул,2022-12-12T05:10:53+0300
39,Механик Участка технологического транспорта и спецтехники,50000.0,,RUR,Благовещенск (Амурская область),2022-12-12T05:55:45+0300
40,Механик,207000.0,310000.0,KZT,Костанай,2022-12-12T05:43:01+0300
41,SMM-дизайнер (в офис),35000.0,100000.0,RUR,Ростов-на-Дону,2022-12-12T01:53:03+0300
42,Токарь-фрезеровщик,50000.0,,RUR,Красноярск,2022-12-12T04:39:51+0300
43,Специалист технической поддержки (начинающий специалист),,,,Усть-Каменогорск,2022-12-12T05:16:49+0300
44,Менеджер проекта,200000.0,1500000.0,KZT,Алматы,2022-12-12T00:11:40+0300
45,Системный инженер,50000.0,56000.0,RUR,Владивосток,2022-12-12T05:32:02+0300
46,Системный администратор,33000.0,33000.0,RUR,Владивосток,2022-12-12T03:20:10+0300
47,Механик обогатительной фабрики,150000.0,,RUR,Нерюнгри,2022-12-12T05:42:21+0300
48,Старший системный администратор,110000.0,130000.0,RUR,Владивосток,2022-12-12T03:30:04+0300
49,Ведущий инженер (вторая линия поддержки),,,,Благовещенск (Амурская область),2022-12-12T03:16:39+0300
50,Системный администратор,,,,Усть-Кут,2022-12-12T03:57:37+0300
51,Инженер-программист 1 С,100000.0,,RUR,Томск,2022-12-12T04:51:21+0300
52,Консультант 1С,60000.0,130000.0,RUR,Владивосток,2022-12-12T03:30:04+0300
53,Инженер премиального холодильного оборудования,70000.0,120000.0,RUR,Санкт-Петербург,2022-12-12T00:35:02+0300
54,Оператор станков с ПУ,60000.0,90000.0,RUR,Омск,2022-12-12T05:43:54+0300
55,Data Engineer (Middle),100000.0,,RUR,Владивосток,2022-12-12T03:30:05+0300
56,Data Scientist (Computer Vision) / Middle,100000.0,,RUR,Владивосток,2022-12-12T03:30:04+0300
57,Инженер-программист 1С,,,,Новосибирск,2022-12-12T04:23:22+0300
58,Директор грузового сервиса (АТП),100000.0,,RUR,Благовещенск (Амурская область),2022-12-12T03:30:26+0300
59,Программист 1C,40000.0,100000.0,RUR,Чита,2022-12-12T04:12:17+0300
60,Программист-консультант 1C,80000.0,,RUR,Томск,2022-12-12T05:03:42+0300
61,Механик Участка технологического транспорта и спецтехники,50000.0,,RUR,Арсеньев,2022-12-12T05:55:45+0300
62,Механик Участка технологического транспорта и спецтехники,50000.0,,RUR,Находка,2022-12-12T05:55:45+0300
63,Ведущий инженер сетевых платформ,,,,Новосибирск,2022-12-12T04:17:36+0300
64,Исполнительный директор,,,,Киров (Кировская область),2022-12-12T00:17:24+0300
65,Начальника отдела информационно-технического обеспечения управления информационных технологий,,,,Нерюнгри,2022-12-12T05:30:56+0300
66,Менеджер проектов,60000.0,,RUR,Якутск,2022-12-12T04:39:54+0300
67,Электромонтер диспетчерского оборудования и телеавтоматики 5-6 разряда Службы эксплуатации СДТУ,31000.0,37000.0,RUR,Томск,2022-12-12T04:31:11+0300
68,Программист 1C,70000.0,115000.0,RUR,Бердск,2022-12-12T04:20:25+0300
69,Токарь 4 разряд в турбодизельный цех,,70000.0,RUR,Владивосток,2022-12-12T01:15:56+0300
70,Механик Участка технологического транспорта и спецтехники,50000.0,,RUR,Врангель,2022-12-12T05:55:45+0300
71,Механик Участка технологического транспорта и спецтехники,50000.0,,RUR,Лучегорск,2022-12-12T05:55:45+0300
72,Токарь-расточник,,,,Барнаул,2022-12-12T03:58:04+0300
73,Главный механик (г. Черепаново),,,,Новосибирск,2022-12-12T04:11:46+0300
74,Наладчик технологического оборудования (хлебное производство),30000.0,,RUR,Кемерово,2022-12-12T05:30:23+0300
75,Программист-разработчик 1С,65000.0,,RUR,Кемерово,2022-12-12T05:33:47+0300
76,Инженер - системотехник (Старший системный администратор),,,,Хабаровск,2022-12-12T05:57:21+0300
77,Системный аналитик 1С (Senior),125000.0,150000.0,RUR,Владивосток,2022-12-12T03:30:04+0300
78,Токарь,35000.0,40000.0,RUR,Красноярск,2022-12-12T05:08:49+0300
79,QA Performance,,,,Санкт-Петербург,2022-12-12T05:51:52+0300
80,Токарь 6 разряда в турбодизельный цех,,80000.0,RUR,Владивосток,2022-12-12T01:17:34+0300
81,Программист 1C,80000.0,120000.0,RUR,Владивосток,2022-12-12T05:56:02+0300
82,Программист 1С,120000.0,,RUR,Хабаровск,2022-12-12T05:00:24+0300
83,Программист 1С,,,,Новосибирск,2022-12-12T04:31:30+0300
84,QA Performance,,,,Новосибирск,2022-12-12T05:50:45+0300
85,Механик Участка технологического транспорта и спецтехники,50000.0,,RUR,Уссурийск,2022-12-12T05:55:45+0300
86,Механик Участка технологического транспорта и спецтехники,50000.0,,RUR,Хабаровск,2022-12-12T05:55:45+0300
87,Механик Участка технологического транспорта и спецтехники,50000.0,,RUR,Лесозаводск,2022-12-12T05:55:45+0300
88,"IOS Developer (Middle, Senior)",180000.0,450000.0,RUR,Москва,2022-12-12T00:49:03+0300
89,Начальник отдела автотранспортного обеспечения,,,,Иркутск,2022-12-12T04:54:58+0300
90,Механик Участка технологического транспорта и спецтехники,50000.0,,RUR,Владивосток,2022-12-12T05:55:45+0300
91,Системный аналитик 1С (Middle),80000.0,,RUR,Владивосток,2022-12-12T03:30:04+0300
92,Контролёр торговых представителей,25000.0,,RUR,Орск,2022-12-12T04:59:47+0300
93,Механик Участка технологического транспорта и спецтехники,50000.0,,RUR,Вяземский,2022-12-12T05:55:45+0300
94,Механик Участка технологического транспорта и спецтехники,50000.0,,RUR,Дальнереченск,2022-12-12T05:55:45+0300
95,Механик Участка технологического транспорта и спецтехники,50000.0,,RUR,Бикин,2022-12-12T05:55:45+0300
96,Механик по ремонту транспортных средств – водитель снегоболотохода,,,,Красноярск,2022-12-12T05:41:28+0300
97,Токарь,,,,Ангарск,2022-12-12T04:46:17+0300
98,Администратор систем унифицированных коммуникаций,,,,Новосибирск,2022-12-12T05:08:04+0300
99,Токарь,,,,Ванино,2022-12-12T04:19:19+0300
100,Руководитель направления системного анализа,,,,Новосибирск,2022-12-12T04:10:04+0300
101,Системный администратор,,,,Находка,2022-12-12T01:56:59+0300
102,Инженер-механик оборудования BAADER,,,,Владивосток,2022-12-12T02:34:55+0300
103,Веб-Программист Junior/Middle,,,,Ростов-на-Дону,2022-12-12T09:32:01+0300
104,Junior Java developer,400.0,600.0,USD,Алматы,2022-12-12T06:55:35+0300
105,Специалист по тестированию (Тестировщик),25000.0,25000.0,RUR,Казань,2022-12-12T09:27:40+0300
106,Программист-стажер 1C,30000.0,50000.0,RUR,Краснодар,2022-12-12T10:35:57+0300
107,Junior Manual QA engineer,,,,Пермь,2022-12-12T09:55:48+0300
108,Стажер-программист,30000.0,,RUR,Москва,2022-12-12T09:11:07+0300
109,Администратор GetCourse,40000.0,,RUR,Краснодар,2022-12-12T10:26:34+0300
110,Системный администратор,,,,Ташкент,2022-12-12T08:00:59+0300
